INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,26926,1075,1155.8751,0.93,0.9116,1.0943,0.8758,1.1418,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,27922,1089,1092.5609,0.9967,0.9091,1.0971,0.8752,1.1426,2
I00699,RC3,EALING HOSPITAL NHS TRUST,31898,723,822.8334,0.8787,0.8957,1.1125,0.8715,1.1475,2
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,55697,1529,1400.5467,1.0917,0.9195,1.0854,0.8778,1.1392,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,47518,1775,1603.092,1.1072,0.9246,1.0796,0.8789,1.1377,2
I00699,RCC,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,24844,1157,1016.0261,1.1388,0.9058,1.1008,0.8743,1.1437,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23975,935,953.6768,0.9804,0.9029,1.1042,0.8735,1.1448,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,32034,923,1037.3763,0.8897,0.9068,1.0997,0.8746,1.1434,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN. NHS FOUNDATION TRUST",37563,1465,1483.4777,0.9875,0.9217,1.0829,0.8783,1.1386,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41380,1914,2020.6273,0.9472,0.9327,1.0707,0.8806,1.1355,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,53062,1463,1621.5403,0.9022,0.925,1.0791,0.879,1.1376,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,50117,1428,1397.2144,1.022,0.9194,1.0855,0.8777,1.1393,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,43024,1112,1097.0359,1.0136,0.9093,1.0969,0.8752,1.1425,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,48347,1921,1657.6368,1.1589,0.9258,1.0782,0.8792,1.1374,1
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,49635,2233,1933.7723,1.1547,0.9312,1.0723,0.8803,1.1359,1
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,50412,1414,1568.273,0.9016,0.9238,1.0805,0.8788,1.138,2
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,43931,2078,2015.7103,1.0309,0.9326,1.0708,0.8806,1.1356,2
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,23068,1083,1069.0913,1.013,0.9081,1.0982,0.8749,1.1429,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,69957,2126,2129.6107,0.9983,0.9344,1.0688,0.881,1.1351,2
I00699,REM,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,43312,1991,1767.0786,1.1267,0.9281,1.0757,0.8797,1.1367,2
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",85585,2972,3158.7932,0.9409,0.9459,1.0562,0.883,1.1324,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,41373,1375,1301.3567,1.0566,0.9165,1.0887,0.8771,1.1402,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,48268,1437,1384.6541,1.0378,0.919,1.0859,0.8777,1.1394,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,44477,1665,1565.2301,1.0637,0.9237,1.0806,0.8787,1.138,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33335,905,1019.2028,0.8879,0.906,1.1006,0.8744,1.1437,2
I00699,RGC,WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST,53159,1432,1590.265,0.9005,0.9243,1.0799,0.8789,1.1378,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,48174,1531,1471.181,1.0407,0.9214,1.0832,0.8782,1.1387,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32115,1428,1722.1368,0.8292,0.9272,1.0767,0.8795,1.137,3
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,49343,1861,1803.4988,1.0319,0.9288,1.0749,0.8799,1.1366,2
I00699,RGR,WEST SUFFOLK HOSPITALS NHS TRUST,33555,1217,1330.7148,0.9145,0.9174,1.0876,0.8773,1.1399,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,69870,1912,2414.9424,0.7917,0.9383,1.0645,0.8817,1.1341,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,60926,1765,1978.0089,0.8923,0.932,1.0714,0.8805,1.1357,2
I00699,RHM,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,86088,2549,2650.7118,0.9616,0.9411,1.0615,0.8822,1.1335,2
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,103790,3563,4094.5582,0.8702,0.9524,1.0492,0.884,1.1312,3
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,87455,2944,2978.6166,0.9884,0.9443,1.0579,0.8828,1.1328,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,58901,2051,1876.932,1.0927,0.9302,1.0734,0.8801,1.1362,2
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,83019,1415,1589.4626,0.8902,0.9243,1.08,0.8789,1.1378,2
I00699,RJ2,LEWISHAM HEALTHCARE NHS TRUST,36602,962,1001.9069,0.9602,0.9052,1.1015,0.8742,1.144,2
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,44066,1301,1269.0754,1.0252,0.9155,1.0898,0.8768,1.1405,2
I00699,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,72076,1609,2111.6557,0.762,0.9341,1.0691,0.8809,1.1352,3
I00699,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,32598,1094,998.5297,1.0956,0.9051,1.1017,0.8741,1.144,2
I00699,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,32563,960,997.8962,0.962,0.905,1.1017,0.8741,1.144,2
I00699,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,85340,3033,2905.0008,1.0441,0.9436,1.0587,0.8827,1.1329,2
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,39531,1249,1097.646,1.1379,0.9093,1.0968,0.8753,1.1425,2
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,58238,2238,1981.9251,1.1292,0.932,1.0714,0.8805,1.1357,2
I00699,RJN,EAST CHESHIRE NHS TRUST,24811,965,978.7122,0.986,0.9041,1.1028,0.8739,1.1443,2
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,48092,1367,1255.3653,1.0889,0.915,1.0903,0.8767,1.1406,2
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,66246,1410,1541.0122,0.915,0.9231,1.0812,0.8786,1.1382,2
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,49632,1759,1723.4971,1.0206,0.9272,1.0767,0.8795,1.137,2
I00699,RK9,PLYMOUTH HOSPITALS NHS TRUST,74789,2402,2532.4803,0.9485,0.9397,1.0629,0.882,1.1338,2
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,82269,2700,2515.9521,1.0732,0.9395,1.0632,0.8819,1.1339,2
I00699,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,34774,569,838.8558,0.6783,0.8967,1.1114,0.8718,1.1471,3
I00699,RL4,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,59945,2203,1999.7987,1.1016,0.9323,1.071,0.8806,1.1356,2
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,61254,2059,2025.3476,1.0166,0.9327,1.0706,0.8807,1.1355,2
I00699,RLQ,WYE VALLEY NHS TRUST,26904,975,891.3296,1.0939,0.8997,1.1079,0.8726,1.146,2
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,23942,1024,843.6016,1.2138,0.897,1.111,0.8718,1.147,1
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84397,3074,3064.3516,1.0031,0.9451,1.0571,0.8829,1.1326,2
I00699,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,59341,1695,1891.3129,0.8962,0.9304,1.0731,0.8802,1.1361,2
I00699,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,56538,1581,1689.3585,0.9359,0.9265,1.0775,0.8794,1.1372,2
I00699,RM4,TRAFFORD HEALTHCARE NHS TRUST,9989,560,497.4222,1.1258,0.8672,1.1465,0.8622,1.1598,2
I00699,RMC,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,54783,1761,1670.1838,1.0544,0.9261,1.0779,0.8793,1.1373,2
I00699,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,34711,1474,1234.8292,1.1937,0.9144,1.0911,0.8765,1.1409,1
I00699,RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,26391,944,925.5506,1.0199,0.9015,1.1058,0.8731,1.1453,2
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,47203,1577,1534.5246,1.0277,0.923,1.0814,0.8786,1.1382,2
I00699,RN5,BASINGSTOKE AND NORTH HAMPSHIRE NHS FOUNDATION TRUST,34149,962,840.1674,1.145,0.8968,1.1113,0.8718,1.1471,2
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,39200,1412,1285.9467,1.098,0.916,1.0892,0.877,1.1403,2
I00699,RNA,THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,69786,2213,1961.7575,1.1281,0.9317,1.0718,0.8804,1.1358,2
I00699,RNH,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,45022,626,797.2786,0.7852,0.8941,1.1143,0.871,1.1481,3
I00699,RNJ,BARTS AND THE LONDON NHS TRUST,68601,1306,1882.0058,0.6939,0.9303,1.0733,0.8802,1.1362,3
I00699,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,44593,1735,1520.9474,1.1407,0.9226,1.0818,0.8785,1.1383,1
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,44169,1511,1386.7896,1.0896,0.9191,1.0858,0.8777,1.1394,2
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,54391,1551,1392.9106,1.1135,0.9192,1.0856,0.8777,1.1393,2
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,35913,1055,1096.5145,0.9621,0.9093,1.0969,0.8752,1.1425,2
I00699,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,73899,2721,2675.5832,1.017,0.9413,1.0612,0.8823,1.1334,2
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,51786,1731,1493.8571,1.1587,0.922,1.0826,0.8783,1.1385,1
I00699,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,47236,1891,1851.7045,1.0212,0.9297,1.0739,0.88,1.1363,2
I00699,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,56422,1659,1533.9413,1.0815,0.923,1.0814,0.8786,1.1382,2
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,49183,554,711.1629,0.779,0.8881,1.1214,0.8692,1.1505,3
I00699,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,21258,671,744.5812,0.9012,0.8906,1.1185,0.8699,1.1495,2
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,36500,1350,1387.1574,0.9732,0.9191,1.0858,0.8777,1.1394,2
I00699,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,37593,621,632.0257,0.9826,0.8816,1.1291,0.8671,1.1533,2
I00699,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,149117,4271,4104.7278,1.0405,0.9525,1.0492,0.884,1.1312,2
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,33893,1424,1449.5168,0.9824,0.9208,1.0839,0.8781,1.1388,2
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,157947,4176,4467.5888,0.9347,0.9544,1.0471,0.8843,1.1308,2
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",47685,1682,1593.3838,1.0556,0.9244,1.0799,0.8789,1.1378,2
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,57265,2165,2205.0864,0.9818,0.9355,1.0676,0.8812,1.1348,2
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,63189,1009,1428.93,0.7061,0.9202,1.0845,0.878,1.139,3
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,105933,2636,2775.2511,0.9498,0.9424,1.0601,0.8825,1.1332,2
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,82156,2757,2830.0301,0.9742,0.9429,1.0595,0.8825,1.1331,2
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,73237,3014,2969.6122,1.0149,0.9443,1.058,0.8828,1.1328,2
I00699,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,82586,2753,2532.0788,1.0872,0.9397,1.0629,0.882,1.1338,2
I00699,RTH,OXFORD RADCLIFFE HOSPITALS NHS TRUST,105978,3113,3044.3003,1.0226,0.9449,1.0573,0.8829,1.1327,2
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,48100,1653,1747.8173,0.9458,0.9277,1.0761,0.8796,1.1369,2
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,48763,1598,1689.1096,0.9461,0.9265,1.0775,0.8794,1.1372,2
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,93317,2642,2758.3368,0.9578,0.9422,1.0602,0.8824,1.1332,2
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,53074,2027,1787.5324,1.134,0.9285,1.0753,0.8798,1.1366,2
I00699,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,66600,1730,2123.06,0.8149,0.9343,1.0689,0.881,1.1351,3
I00699,RVJ,NORTH BRISTOL NHS TRUST,72198,2138,2180.5941,0.9805,0.9351,1.068,0.8811,1.1349,2
I00699,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,74860,2253,2556.2015,0.8814,0.94,1.0626,0.882,1.1337,3
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,57552,1873,2073.5138,0.9033,0.9335,1.0697,0.8808,1.1353,2
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,99524,3980,4086.0936,0.974,0.9524,1.0493,0.884,1.1312,2
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,56122,1824,1743.8928,1.0459,0.9276,1.0762,0.8796,1.1369,2
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,35833,1334,1260.0676,1.0587,0.9152,1.0901,0.8767,1.1406,2
I00699,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84417,1367,1276.9013,1.0706,0.9157,1.0895,0.8769,1.1404,2
I00699,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,139327,4362,4135.026,1.0549,0.9526,1.049,0.8841,1.1311,2
I00699,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,92366,3332,2838.7081,1.1738,0.943,1.0594,0.8826,1.1331,1
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,93794,3657,3289.4424,1.1117,0.947,1.0551,0.8832,1.1322,2
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,149990,4462,4202.1951,1.0618,0.953,1.0486,0.8841,1.1311,2
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,65945,2171,2129.8766,1.0193,0.9344,1.0688,0.881,1.1351,2
I00699,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,50735,1658,1634.9188,1.0141,0.9253,1.0788,0.8791,1.1375,2
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,67001,2522,2097.4892,1.2024,0.9339,1.0693,0.8809,1.1352,1
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,59743,1684,1827.4996,0.9215,0.9293,1.0744,0.88,1.1364,2
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,74597,2611,2407.6426,1.0845,0.9382,1.0646,0.8817,1.1342,2
I00699,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,51820,1588,1560.5704,1.0176,0.9236,1.0807,0.8787,1.138,2
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,76793,2217,2197.3438,1.0089,0.9354,1.0677,0.8812,1.1348,2
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,134161,4221,4414.5558,0.9562,0.9541,1.0474,0.8843,1.1309,2
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,60329,2741,2542.7837,1.078,0.9398,1.0628,0.882,1.1338,2
I00699,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,95363,3062,2929.249,1.0453,0.9439,1.0584,0.8827,1.1329,2
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,67997,2340,2383.6861,0.9817,0.9379,1.0649,0.8817,1.1342,2
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,76870,2269,2275.5302,0.9971,0.9365,1.0665,0.8814,1.1346,2
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,53881,2380,1991.4792,1.1951,0.9322,1.0712,0.8805,1.1357,1
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,77186,2267,2287.2075,0.9912,0.9366,1.0663,0.8814,1.1345,2
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,86655,2793,2919.6862,0.9566,0.9438,1.0585,0.8827,1.1329,2
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,51876,1656,1484.754,1.1153,0.9217,1.0828,0.8783,1.1386,2
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,79217,2602,2286.5187,1.138,0.9366,1.0663,0.8814,1.1345,1
I00699,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,61442,2452,2219.3176,1.1048,0.9357,1.0673,0.8812,1.1348,2
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,106864,2259,2984.6294,0.7569,0.9444,1.0579,0.8828,1.1328,3
I00699,RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,100854,3031,3328.119,0.9107,0.9473,1.0547,0.8833,1.1322,2
I00699,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,75343,3126,2788.1844,1.1212,0.9425,1.0599,0.8825,1.1332,2
