INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,102929,3494,3788.9332,0.9222,0.9505,1.0512,0.8938,1.1189,2
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,88418,2889,2934.8585,0.9844,0.9439,1.0584,0.8926,1.1203,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,58124,1956,1840.5759,1.0627,0.9295,1.0741,0.8896,1.1241,2
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,85825,1365,1533.5573,0.8901,0.9229,1.0815,0.888,1.1261,2
I00699,RJ2,LEWISHAM HEALTHCARE NHS TRUST,37782,892,930.8288,0.9583,0.9018,1.1055,0.8821,1.1336,2
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,44995,1254,1256.7732,0.9978,0.9151,1.0903,0.886,1.1287,2
I00699,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,70001,1636,2067.5737,0.7913,0.9334,1.0698,0.8905,1.123,3
I00699,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,33426,1083,1007.363,1.0751,0.9055,1.1012,0.8832,1.1322,2
I00699,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,32130,950,1018.7338,0.9325,0.906,1.1007,0.8834,1.132,2
I00699,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,87656,2930,2767.8496,1.0586,0.9423,1.0601,0.8923,1.1207,2
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,41058,1183,1170.5098,1.0107,0.9121,1.0937,0.8852,1.1297,2
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,59034,2266,1933.8305,1.1718,0.9312,1.0723,0.89,1.1236,1
I00699,RJN,EAST CHESHIRE NHS TRUST,24481,951,948.2204,1.0029,0.9026,1.1045,0.8824,1.1333,2
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,48865,1403,1319.3737,1.0634,0.9171,1.088,0.8865,1.128,2
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,66196,1457,1551.4143,0.9391,0.9234,1.081,0.8881,1.126,2
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,49872,1712,1665.4748,1.0279,0.926,1.0781,0.8888,1.1252,2
I00699,RK9,PLYMOUTH HOSPITALS NHS TRUST,72168,2257,2436.7352,0.9262,0.9386,1.0642,0.8916,1.1216,2
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,81793,2618,2437.8718,1.0739,0.9386,1.0642,0.8916,1.1216,2
I00699,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,34866,581,818.0639,0.7102,0.8954,1.1128,0.8802,1.1362,3
I00699,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,59843,2060,2007.9995,1.0259,0.9325,1.0709,0.8903,1.1233,2
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,62495,1839,2008.8202,0.9155,0.9325,1.0709,0.8903,1.1233,2
I00699,RLQ,WYE VALLEY NHS TRUST,28648,987,846.8045,1.1656,0.8972,1.1108,0.8807,1.1355,1
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,24310,997,856.568,1.1639,0.8977,1.1102,0.8809,1.1352,1
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,85857,3111,3021.7398,1.0295,0.9447,1.0575,0.8927,1.1201,2
I00699,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,58460,1719,1780.4452,0.9655,0.9284,1.0754,0.8893,1.1245,2
I00699,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,50928,1404,1632.0666,0.8603,0.9252,1.0789,0.8886,1.1254,3
I00699,RMC,BOLTON NHS FOUNDATION TRUST,57543,1739,1638.6829,1.0612,0.9254,1.0787,0.8886,1.1253,2
I00699,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,34794,1410,1191.4775,1.1834,0.9129,1.0928,0.8854,1.1295,1
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,57887,1734,1664.2386,1.0419,0.926,1.0781,0.8888,1.1252,2
I00699,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,61088,1784,1734.1617,1.0287,0.9274,1.0765,0.8891,1.1247,2
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,48128,1453,1412.6852,1.0285,0.9198,1.085,0.8872,1.1271,2
I00699,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,68019,2071,1938.3155,1.0685,0.9313,1.0722,0.89,1.1236,2
I00699,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,44655,1676,1490.7862,1.1242,0.9219,1.0826,0.8877,1.1264,2
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,44929,1421,1334.8322,1.0646,0.9175,1.0875,0.8866,1.1279,2
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,55923,1547,1476.6122,1.0477,0.9215,1.0831,0.8877,1.1266,2
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,35502,1111,1059.1441,1.049,0.9077,1.0986,0.8839,1.1313,2
I00699,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,75232,2721,2628.5427,1.0352,0.9408,1.0618,0.892,1.1211,2
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,52437,1653,1443.8899,1.1448,0.9206,1.084,0.8874,1.1268,1
I00699,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,47904,1852,1736.2449,1.0667,0.9275,1.0764,0.8891,1.1247,2
I00699,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,53615,1718,1580.7493,1.0868,0.9241,1.0802,0.8883,1.1258,2
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,48472,508,664.634,0.7643,0.8844,1.1258,0.8765,1.1409,3
I00699,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,20644,678,719.746,0.942,0.8888,1.1206,0.878,1.139,2
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,37760,1445,1362.5319,1.0605,0.9184,1.0866,0.8868,1.1276,2
I00699,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,37538,579,592.8938,0.9766,0.8779,1.1335,0.8742,1.1439,2
I00699,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,149660,4219,4109.0997,1.0267,0.9525,1.0492,0.8941,1.1185,2
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,35308,1478,1429.8813,1.0337,0.9203,1.0844,0.8873,1.127,2
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,148496,4110,4458.6153,0.9218,0.9544,1.0471,0.8944,1.1181,2
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",47646,1646,1552.7296,1.0601,0.9234,1.0809,0.8881,1.126,2
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,55326,2294,2195.1026,1.0451,0.9353,1.0677,0.8909,1.1225,2
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,64502,1057,1470.7923,0.7187,0.9214,1.0832,0.8876,1.1266,3
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,106313,2519,2660.9643,0.9466,0.9412,1.0614,0.8921,1.121,2
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,82815,2744,2863.1586,0.9584,0.9432,1.0591,0.8925,1.1205,2
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,73288,2878,2815.0223,1.0224,0.9428,1.0596,0.8924,1.1206,2
I00699,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,81157,2787,2555.0423,1.0908,0.94,1.0627,0.8918,1.1213,2
I00699,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,102482,3096,3150.5895,0.9827,0.9458,1.0563,0.8929,1.1199,2
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,44470,1652,1654.8583,0.9983,0.9258,1.0783,0.8887,1.1252,2
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,48707,1562,1660.6445,0.9406,0.9259,1.0782,0.8887,1.1252,2
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,91052,2760,2839.823,0.9719,0.943,1.0594,0.8924,1.1205,2
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,52438,1850,1721.187,1.0748,0.9272,1.0767,0.889,1.1248,2
I00699,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,67647,1769,2159.1321,0.8193,0.9348,1.0683,0.8908,1.1226,3
I00699,RVJ,NORTH BRISTOL NHS TRUST,72232,2090,2142.2949,0.9756,0.9346,1.0686,0.8907,1.1227,2
I00699,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,78988,2154,2481.3173,0.8681,0.9391,1.0636,0.8917,1.1215,3
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,57015,1912,1999.1279,0.9564,0.9323,1.0711,0.8902,1.1233,2
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,101697,3968,3975.4992,0.9981,0.9517,1.05,0.894,1.1186,2
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,50364,1796,1628.5374,1.1028,0.9252,1.079,0.8886,1.1254,2
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,35331,1253,1217.953,1.0288,0.9138,1.0917,0.8856,1.1292,2
I00699,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,95742,1899,1716.146,1.1065,0.9271,1.0769,0.889,1.1248,2
I00699,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,139066,4074,3895.4794,1.0458,0.9512,1.0505,0.8939,1.1187,2
I00699,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,91562,3267,2975.1015,1.0981,0.9443,1.058,0.8927,1.1202,2
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,94007,3586,3280.3682,1.0932,0.9469,1.0551,0.8931,1.1196,2
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,139168,4117,3932.1579,1.047,0.9514,1.0503,0.8939,1.1187,2
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,64171,1974,1990.296,0.9918,0.9322,1.0712,0.8902,1.1234,2
I00699,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,52362,1764,1700.2838,1.0375,0.9267,1.0772,0.8889,1.1249,2
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,62312,2354,2063.7414,1.1406,0.9334,1.0699,0.8905,1.123,1
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,57720,1682,1755.3315,0.9582,0.9279,1.076,0.8892,1.1246,2
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,73514,2607,2527.7649,1.0313,0.9397,1.063,0.8918,1.1214,2
I00699,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,51591,1562,1462.4118,1.0681,0.9211,1.0835,0.8876,1.1267,2
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,76884,2238,2173.0385,1.0299,0.935,1.0681,0.8908,1.1226,2
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,131682,4094,4416.1817,0.927,0.9541,1.0474,0.8943,1.1181,2
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,58234,2745,2574.8942,1.0661,0.9402,1.0624,0.8919,1.1212,2
I00699,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,94177,2872,2791.5786,1.0288,0.9425,1.0599,0.8923,1.1207,2
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,68498,2361,2479.3984,0.9522,0.9391,1.0636,0.8917,1.1215,2
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,73942,2171,2243.3577,0.9677,0.936,1.067,0.891,1.1223,2
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,54208,2365,1895.8604,1.2475,0.9305,1.073,0.8898,1.1238,1
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,75492,2215,2181.6348,1.0153,0.9351,1.0679,0.8908,1.1225,2
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,86019,2896,2872.3011,1.0083,0.9433,1.059,0.8925,1.1205,2
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,52208,1704,1523.6215,1.1184,0.9227,1.0817,0.888,1.1262,2
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,79125,2603,2294.6147,1.1344,0.9367,1.0662,0.8912,1.1221,1
I00699,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,63054,2354,2206.6201,1.0668,0.9355,1.0675,0.8909,1.1224,2
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,105498,2262,2983.121,0.7583,0.9444,1.0579,0.8927,1.1202,3
I00699,RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,96734,3132,3178.982,0.9852,0.9461,1.056,0.893,1.1198,2
I00699,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,74371,2972,2754.9494,1.0788,0.9422,1.0603,0.8923,1.1207,2
