INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,PO_BANDING,OD_LL,OD_UL,OD_BANDING
I00699,RCC,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,24817,1168,1040.9528,1.122,0.907,1.0995,1,0.8751,1.1427,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,24072,896,949.1536,0.944,0.9027,1.1044,2,0.8739,1.1442,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,32580,950,1022.2898,0.9293,0.9061,1.1005,2,0.8749,1.143,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN. NHS FOUNDATION TRUST",37593,1470,1514.8873,0.9704,0.9225,1.082,2,0.879,1.1377,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41051,1928,2053.421,0.9389,0.9332,1.0701,2,0.8813,1.1347,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,53691,1480,1600.9062,0.9245,0.9245,1.0797,3,0.8794,1.1371,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,50360,1409,1405.9862,1.0021,0.9196,1.0852,2,0.8783,1.1386,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,42761,1111,1074.5218,1.0339,0.9084,1.0979,2,0.8755,1.1422,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,48575,1924,1676.473,1.1476,0.9262,1.0778,1,0.8798,1.1366,1
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,49890,2181,1928.476,1.1309,0.9311,1.0724,1,0.8808,1.1353,2
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,49998,1407,1570.7355,0.8958,0.9238,1.0805,3,0.8793,1.1373,2
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,43066,2068,2047.8692,1.0098,0.9331,1.0702,2,0.8812,1.1348,2
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,22589,1067,1068.3969,0.9987,0.9081,1.0982,2,0.8754,1.1423,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,69741,2188,2159.8147,1.013,0.9348,1.0683,2,0.8816,1.1343,2
I00699,REM,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,43164,2010,1817.2106,1.1061,0.9291,1.0746,1,0.8804,1.1358,2
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",84893,3038,3151.2322,0.9641,0.9459,1.0563,2,0.8836,1.1318,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,40781,1409,1324.6377,1.0637,0.9172,1.0878,2,0.8777,1.1393,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,47916,1456,1422.6907,1.0234,0.9201,1.0847,2,0.8784,1.1384,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,44246,1631,1568.1283,1.0401,0.9238,1.0805,2,0.8793,1.1373,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,32812,897,1019.108,0.8802,0.906,1.1006,3,0.8749,1.1431,2
I00699,RGC,WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST,53332,1455,1584.3002,0.9184,0.9242,1.0801,3,0.8793,1.1372,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,48745,1541,1473.6868,1.0457,0.9214,1.0831,2,0.8787,1.138,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32122,1447,1680.7168,0.8609,0.9263,1.0777,3,0.8798,1.1366,3
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,49743,1912,1891.568,1.0108,0.9305,1.0731,2,0.8807,1.1355,2
I00699,RGR,WEST SUFFOLK HOSPITALS NHS TRUST,34166,1234,1354.3246,0.9112,0.9181,1.0868,3,0.878,1.139,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,70319,1892,2412.9821,0.7841,0.9383,1.0645,3,0.8822,1.1335,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,61850,1799,1954.3561,0.9205,0.9316,1.0719,3,0.8809,1.1352,2
I00699,RHM,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,85144,2518,2613.6904,0.9634,0.9406,1.0619,2,0.8827,1.1329,2
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,104599,3589,4197.1416,0.8551,0.953,1.0486,3,0.8846,1.1304,3
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,87551,2892,2927.7604,0.9878,0.9439,1.0584,2,0.8832,1.1322,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,58883,2058,1878.6933,1.0954,0.9302,1.0734,1,0.8807,1.1355,2
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,85290,1450,1595.3822,0.9089,0.9244,1.0798,3,0.8794,1.1371,2
I00699,RJ2,LEWISHAM HEALTHCARE NHS TRUST,35878,949,1000.7359,0.9483,0.9052,1.1016,2,0.8746,1.1433,2
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,44243,1344,1284.8438,1.046,0.916,1.0892,2,0.8774,1.1397,2
I00699,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,72669,1638,2105.264,0.778,0.934,1.0692,3,0.8814,1.1345,3
I00699,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,32466,1082,1004.7129,1.0769,0.9053,1.1014,2,0.8747,1.1433,2
I00699,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,32877,962,976.4317,0.9852,0.904,1.1029,2,0.8743,1.1438,2
I00699,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,86049,3062,2968.2847,1.0316,0.9442,1.058,2,0.8833,1.1321,2
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,39681,1257,1121.037,1.1213,0.9102,1.0958,1,0.876,1.1416,2
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,57757,2268,1976.2525,1.1476,0.9319,1.0715,1,0.881,1.1351,1
I00699,RJN,EAST CHESHIRE NHS TRUST,24834,958,998.4228,0.9595,0.905,1.1017,2,0.8746,1.1434,2
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,48037,1376,1241.8928,1.108,0.9146,1.0908,1,0.8771,1.1401,2
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,66337,1420,1543.34,0.9201,0.9232,1.0812,3,0.8791,1.1375,2
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,50283,1834,1780.1645,1.0302,0.9284,1.0754,2,0.8803,1.136,2
I00699,RK9,PLYMOUTH HOSPITALS NHS TRUST,76913,2429,2581.9977,0.9407,0.9403,1.0623,2,0.8826,1.133,2
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,82193,2680,2537.591,1.0561,0.9398,1.0629,2,0.8825,1.1331,2
I00699,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,34745,577,857.5132,0.6729,0.8978,1.1101,3,0.8726,1.1461,3
I00699,RL4,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,60277,2195,1971.0527,1.1136,0.9318,1.0716,1,0.881,1.1351,2
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,61320,2139,2000.3525,1.0693,0.9323,1.071,2,0.8811,1.135,2
I00699,RLQ,WYE VALLEY NHS TRUST,26319,984,910.9811,1.0802,0.9007,1.1067,2,0.8734,1.145,2
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,24161,1024,843.4469,1.2141,0.897,1.111,1,0.8723,1.1464,1
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84238,3048,3075.381,0.9911,0.9452,1.057,2,0.8835,1.1319,2
I00699,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,58993,1678,1898.2707,0.884,0.9306,1.073,3,0.8807,1.1354,2
I00699,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,57242,1623,1716.435,0.9456,0.9271,1.0769,2,0.88,1.1364,2
I00699,RM4,TRAFFORD HEALTHCARE NHS TRUST,10188,555,522.1906,1.0628,0.8702,1.1427,2,0.8637,1.1578,2
I00699,RMC,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,54303,1751,1667.3995,1.0501,0.926,1.078,2,0.8798,1.1367,2
I00699,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,34862,1463,1255.2549,1.1655,0.915,1.0903,1,0.8772,1.14,1
I00699,RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,26531,927,949.8822,0.9759,0.9027,1.1044,2,0.874,1.1442,2
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,47001,1495,1494.8563,1.0001,0.922,1.0825,2,0.8789,1.1378,2
I00699,RN5,BASINGSTOKE AND NORTH HAMPSHIRE NHS FOUNDATION TRUST,33709,961,844.8504,1.1375,0.897,1.1109,1,0.8723,1.1463,2
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,37424,1414,1291.9393,1.0945,0.9162,1.089,1,0.8775,1.1396,2
I00699,RNA,THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,69865,2136,1959.9193,1.0898,0.9316,1.0718,1,0.881,1.1351,2
I00699,RNH,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,46513,647,810.2861,0.7985,0.8949,1.1134,3,0.8717,1.1472,3
I00699,RNJ,BARTS AND THE LONDON NHS TRUST,68838,1316,1905.7184,0.6906,0.9307,1.0728,3,0.8808,1.1354,3
I00699,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,44571,1729,1538.0914,1.1241,0.9231,1.0813,1,0.8791,1.1375,2
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,44593,1516,1406.1571,1.0781,0.9196,1.0852,2,0.8783,1.1386,2
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,53694,1547,1356.5568,1.1404,0.9182,1.0868,1,0.878,1.139,1
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,35817,1076,1123.4916,0.9577,0.9103,1.0957,2,0.876,1.1415,2
I00699,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,73250,2721,2666.8224,1.0203,0.9412,1.0613,2,0.8828,1.1328,2
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,51573,1745,1507.1433,1.1578,0.9223,1.0822,1,0.8789,1.1378,1
I00699,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,48914,1914,1908.1341,1.0031,0.9307,1.0728,2,0.8808,1.1354,2
I00699,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,58051,1643,1533.4522,1.0714,0.9229,1.0815,2,0.8791,1.1376,2
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,49623,584,745.0998,0.7838,0.8906,1.1185,3,0.8704,1.1489,3
I00699,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,21540,667,739.8934,0.9015,0.8902,1.1189,2,0.8703,1.149,2
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,36260,1386,1395.8258,0.993,0.9193,1.0855,2,0.8782,1.1386,2
I00699,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,37713,613,642.6886,0.9538,0.8825,1.128,2,0.8679,1.1523,2
I00699,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,148887,4309,4159.254,1.036,0.9528,1.0488,2,0.8846,1.1304,2
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,34294,1449,1456.4004,0.9949,0.921,1.0836,2,0.8786,1.1381,2
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,156845,4125,4395.7022,0.9384,0.954,1.0475,3,0.8848,1.1302,2
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",48129,1713,1613.9281,1.0614,0.9248,1.0793,2,0.8795,1.137,2
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,57235,2249,2231.3729,1.0079,0.9359,1.0672,2,0.8818,1.1341,2
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,62124,1023,1425.0859,0.7179,0.9201,1.0846,3,0.8784,1.1384,3
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,105728,2657,2817.9558,0.9429,0.9428,1.0596,2,0.883,1.1324,2
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,82641,2756,2822.3188,0.9765,0.9428,1.0595,2,0.8831,1.1324,2
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,74073,3028,3041.2119,0.9957,0.9449,1.0573,2,0.8834,1.132,2
I00699,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,83852,2676,2520.7063,1.0616,0.9396,1.0631,2,0.8825,1.1332,2
I00699,RTH,OXFORD RADCLIFFE HOSPITALS NHS TRUST,100388,3069,3015.3847,1.0178,0.9447,1.0576,2,0.8834,1.132,2
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,49756,1616,1784.748,0.9054,0.9284,1.0753,3,0.8803,1.136,2
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,49543,1600,1663.0673,0.9621,0.9259,1.0781,2,0.8797,1.1367,2
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,94067,2648,2703.1669,0.9796,0.9416,1.0609,2,0.8828,1.1327,2
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,53286,2050,1803.1818,1.1369,0.9288,1.0749,1,0.8804,1.1359,1
I00699,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,66915,1738,2081.1709,0.8351,0.9336,1.0696,3,0.8813,1.1346,3
I00699,RVJ,NORTH BRISTOL NHS TRUST,72635,2159,2206.945,0.9783,0.9355,1.0675,2,0.8817,1.1342,2
I00699,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,74430,2306,2596.9394,0.888,0.9405,1.0621,3,0.8826,1.133,2
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,57302,1916,2106.1871,0.9097,0.934,1.0692,3,0.8814,1.1345,2
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,98804,3901,4086.7584,0.9545,0.9524,1.0493,2,0.8846,1.1305,2
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,57550,1829,1782.8065,1.0259,0.9284,1.0754,2,0.8803,1.136,2
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,35795,1369,1250.2188,1.095,0.9149,1.0905,1,0.8772,1.14,2
I00699,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,83859,1338,1296.8998,1.0317,0.9164,1.0888,2,0.8775,1.1396,2
I00699,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,139774,4417,4149.4409,1.0645,0.9527,1.0489,1,0.8846,1.1304,2
I00699,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,92238,3267,2849.8579,1.1464,0.9431,1.0592,1,0.8831,1.1324,1
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,94041,3606,3256.7675,1.1072,0.9467,1.0553,1,0.8837,1.1316,2
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,154990,4559,4309.5472,1.0579,0.9536,1.048,1,0.8847,1.1303,2
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,64968,2260,2172.4019,1.0403,0.935,1.0681,2,0.8816,1.1343,2
I00699,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,51038,1776,1665.0596,1.0666,0.926,1.0781,2,0.8798,1.1367,2
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,67500,2550,2153.9006,1.1839,0.9347,1.0684,1,0.8816,1.1343,1
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,60013,1639,1807.0498,0.907,0.9289,1.0748,3,0.8804,1.1359,2
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,76008,2681,2442.3769,1.0977,0.9386,1.0641,1,0.8823,1.1334,2
I00699,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,52233,1639,1612.9598,1.0161,0.9248,1.0794,2,0.8795,1.137,2
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,77580,2308,2249.5713,1.026,0.9361,1.0669,2,0.8818,1.134,2
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,134293,4281,4424.8124,0.9675,0.9542,1.0473,2,0.8848,1.1302,2
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,60893,2756,2528.6188,1.0899,0.9397,1.063,1,0.8825,1.1332,2
I00699,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,95706,3095,2928.2833,1.0569,0.9439,1.0584,2,0.8832,1.1322,2
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,67961,2370,2339.2066,1.0132,0.9373,1.0656,2,0.8821,1.1337,2
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,78684,2365,2335.5809,1.0126,0.9373,1.0656,2,0.8821,1.1337,2
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,54063,2371,2031.1525,1.1673,0.9328,1.0705,1,0.8812,1.1348,1
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,77082,2276,2321.2013,0.9805,0.9371,1.0658,2,0.882,1.1338,2
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,87209,2800,2929.6406,0.9557,0.9439,1.0584,2,0.8832,1.1322,2
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,52375,1667,1491.729,1.1175,0.9219,1.0826,1,0.8788,1.1379,2
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,79750,2607,2289.6268,1.1386,0.9367,1.0663,1,0.8819,1.1339,1
I00699,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,61672,2422,2168.4863,1.1169,0.935,1.0682,1,0.8816,1.1343,2
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,109349,2251,3004.7237,0.7492,0.9446,1.0577,3,0.8833,1.1321,3
I00699,RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,102594,3044,3366.2353,0.9043,0.9476,1.0544,3,0.8838,1.1314,2
I00699,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,76167,3161,2790.6447,1.1327,0.9425,1.0599,1,0.883,1.1325,1
