INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,23645,1158,1073.4838,1.0787,0.9083,1.098,0.8734,1.145,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,70131,2159,2148.7204,1.0048,0.9347,1.0685,0.8793,1.1373,2
I00699,REM,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,43020,1938,1718.6693,1.1276,0.9271,1.0768,0.8778,1.1392,2
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86644,2995,3193.7841,0.9378,0.9462,1.0559,0.8813,1.1347,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,41736,1410,1309.2389,1.077,0.9168,1.0884,0.8755,1.1423,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,48324,1467,1398.7588,1.0488,0.9194,1.0854,0.8761,1.1415,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,44488,1649,1540.5626,1.0704,0.9231,1.0813,0.8769,1.1404,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33153,931,1006.2532,0.9252,0.9054,1.1013,0.8726,1.146,2
I00699,RGC,WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST,53143,1418,1588.0234,0.8929,0.9242,1.08,0.8772,1.14,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,47316,1536,1501.6899,1.0228,0.9221,1.0823,0.8767,1.1406,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32393,1446,1743.3269,0.8294,0.9276,1.0762,0.8779,1.1391,3
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,48623,1836,1788.022,1.0268,0.9285,1.0753,0.8781,1.1389,2
I00699,RGR,WEST SUFFOLK HOSPITALS NHS TRUST,33079,1204,1325.5988,0.9083,0.9173,1.0878,0.8756,1.1421,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,69352,1903,2382.0903,0.7989,0.9379,1.0649,0.8799,1.1365,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,60112,1722,1981.632,0.869,0.932,1.0714,0.8788,1.1379,3
I00699,RHM,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,87143,2536,2721.2884,0.9319,0.9418,1.0607,0.8806,1.1356,2
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,102342,3566,3945.3405,0.9039,0.9515,1.0502,0.8821,1.1336,2
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,87904,2951,3008.7466,0.9808,0.9446,1.0576,0.8811,1.135,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,58802,2024,1853.3931,1.0921,0.9298,1.0739,0.8783,1.1385,2
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,83770,1412,1588.5047,0.8889,0.9243,1.08,0.8772,1.14,2
I00699,RJ2,LEWISHAM HEALTHCARE NHS TRUST,37239,1001,1007.6471,0.9934,0.9055,1.1012,0.8726,1.146,2
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,44071,1291,1263.2658,1.022,0.9153,1.09,0.8751,1.1427,2
I00699,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,71779,1634,2113.2394,0.7732,0.9341,1.0691,0.8792,1.1374,3
I00699,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,32806,1094,992.4021,1.1024,0.9048,1.102,0.8724,1.1462,2
I00699,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,32850,992,1024.4468,0.9683,0.9062,1.1004,0.8728,1.1457,2
I00699,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,84769,2976,2833.4756,1.0503,0.943,1.0594,0.8808,1.1353,2
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,39901,1241,1119.788,1.1082,0.9102,1.0958,0.8738,1.1444,2
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,58774,2285,1968.7031,1.1607,0.9318,1.0716,0.8787,1.138,1
I00699,RJN,EAST CHESHIRE NHS TRUST,24762,994,983.0487,1.0111,0.9043,1.1025,0.8723,1.1464,2
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,47911,1391,1295.4918,1.0737,0.9163,1.0889,0.8754,1.1424,2
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,65736,1403,1564.2846,0.8969,0.9237,1.0806,0.877,1.1402,2
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,49578,1716,1702.0712,1.0082,0.9268,1.0772,0.8777,1.1393,2
I00699,RK9,PLYMOUTH HOSPITALS NHS TRUST,72687,2366,2513.6682,0.9413,0.9395,1.0632,0.8802,1.1361,2
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,81960,2656,2528.7711,1.0503,0.9397,1.063,0.8802,1.1361,2
I00699,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,34860,552,818.0928,0.6747,0.8954,1.1128,0.8698,1.1497,3
I00699,RL4,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,59719,2173,2002.9769,1.0849,0.9324,1.071,0.8789,1.1378,2
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,61080,2003,2029.3546,0.987,0.9328,1.0705,0.8789,1.1377,2
I00699,RLQ,WYE VALLEY NHS TRUST,27401,1007,879.0071,1.1456,0.899,1.1087,0.8708,1.1483,2
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,23925,1047,851.5592,1.2295,0.8974,1.1105,0.8704,1.1489,1
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84518,3071,3065.2091,1.0019,0.9451,1.0571,0.8811,1.1349,2
I00699,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,59449,1709,1872.8847,0.9125,0.9301,1.0735,0.8784,1.1384,2
I00699,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,56367,1497,1683.5057,0.8892,0.9264,1.0776,0.8776,1.1394,2
I00699,RM4,TRAFFORD HEALTHCARE NHS TRUST,9907,558,496.6333,1.1236,0.867,1.1466,0.8607,1.1618,2
I00699,RMC,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,55212,1739,1665.8378,1.0439,0.926,1.0781,0.8775,1.1395,2
I00699,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,34917,1498,1256.5159,1.1922,0.9151,1.0903,0.875,1.1428,1
I00699,RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,26170,928,923.1964,1.0052,0.9014,1.1059,0.8715,1.1475,2
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,50404,1651,1582.632,1.0432,0.9241,1.0801,0.8771,1.1401,2
I00699,RN5,BASINGSTOKE AND NORTH HAMPSHIRE NHS FOUNDATION TRUST,34310,951,838.999,1.1335,0.8967,1.1113,0.8702,1.1492,2
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,42269,1457,1316.1143,1.107,0.917,1.0881,0.8755,1.1422,2
I00699,RNA,THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,68472,2201,1966.9055,1.119,0.9318,1.0717,0.8787,1.138,2
I00699,RNH,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,41955,632,792.6009,0.7974,0.8938,1.1147,0.8693,1.1503,3
I00699,RNJ,BARTS AND THE LONDON NHS TRUST,68754,1311,1916.1459,0.6842,0.9309,1.0726,0.8786,1.1382,3
I00699,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,44913,1715,1521.7698,1.127,0.9227,1.0818,0.8768,1.1405,2
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,43979,1470,1360.7187,1.0803,0.9183,1.0866,0.8758,1.1418,2
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,55231,1557,1425.8149,1.092,0.9202,1.0846,0.8762,1.1412,2
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,35867,1072,1092.046,0.9816,0.9091,1.0971,0.8736,1.1448,2
I00699,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,74683,2694,2678.5938,1.0058,0.9414,1.0612,0.8805,1.1357,2
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,51921,1665,1478.721,1.126,0.9216,1.083,0.8766,1.1408,2
I00699,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,47388,1870,1821.3841,1.0267,0.9292,1.0745,0.8782,1.1387,2
I00699,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,55135,1674,1540.92,1.0864,0.9231,1.0813,0.8769,1.1404,2
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,48729,548,716.6904,0.7646,0.8885,1.1209,0.8678,1.1524,3
I00699,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,21053,671,746.8313,0.8985,0.8907,1.1183,0.8684,1.1515,2
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,36536,1367,1369.5263,0.9982,0.9186,1.0863,0.8759,1.1417,2
I00699,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,37730,610,623.6311,0.9781,0.8808,1.13,0.8653,1.1556,2
I00699,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,148182,4173,4102.1199,1.0173,0.9524,1.0492,0.8823,1.1335,2
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,33937,1451,1454.0374,0.9979,0.9209,1.0837,0.8764,1.141,2
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,159169,4137,4495.459,0.9203,0.9545,1.047,0.8825,1.1331,2
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",47223,1661,1575.1936,1.0545,0.9239,1.0803,0.8771,1.1401,2
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,57312,2221,2217.4014,1.0016,0.9357,1.0674,0.8795,1.137,2
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,63894,1048,1469.3275,0.7133,0.9213,1.0833,0.8765,1.1409,3
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,104131,2643,2766.7864,0.9553,0.9423,1.0602,0.8807,1.1355,2
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,81934,2695,2815.1213,0.9573,0.9428,1.0596,0.8808,1.1354,2
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,72829,2998,2946.248,1.0176,0.944,1.0582,0.881,1.1351,2
I00699,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,81922,2802,2555.976,1.0963,0.94,1.0626,0.8803,1.136,2
I00699,RTH,OXFORD RADCLIFFE HOSPITALS NHS TRUST,105481,3105,3073.4458,1.0103,0.9452,1.057,0.8812,1.1349,2
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,46882,1632,1707.8567,0.9556,0.9269,1.0771,0.8777,1.1393,2
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,48377,1568,1680.0605,0.9333,0.9263,1.0777,0.8776,1.1395,2
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,92305,2656,2846.562,0.9331,0.9431,1.0593,0.8808,1.1353,2
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,52656,1984,1767.475,1.1225,0.9281,1.0757,0.878,1.139,2
I00699,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,66078,1765,2154.6524,0.8192,0.9347,1.0684,0.8793,1.1372,3
I00699,RVJ,NORTH BRISTOL NHS TRUST,71776,2104,2179.9949,0.9651,0.9351,1.068,0.8794,1.1372,2
I00699,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,75476,2259,2524.489,0.8948,0.9396,1.063,0.8802,1.1361,2
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,57556,1886,2044.3561,0.9225,0.933,1.0702,0.879,1.1377,2
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,100138,3978,4106.5928,0.9687,0.9525,1.0492,0.8823,1.1335,2
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,54274,1890,1715.8977,1.1015,0.9271,1.0769,0.8778,1.1393,2
I00699,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,35523,1305,1246.7003,1.0468,0.9148,1.0906,0.875,1.1429,2
I00699,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84916,1347,1277.1013,1.0547,0.9158,1.0895,0.8752,1.1426,2
I00699,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,138885,4286,4095.9549,1.0464,0.9524,1.0492,0.8822,1.1335,2
I00699,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,91833,3321,2854.6159,1.1634,0.9432,1.0592,0.8808,1.1353,1
I00699,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,93345,3661,3310.2205,1.106,0.9471,1.0549,0.8815,1.1345,2
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,145614,4375,4103.4798,1.0662,0.9525,1.0492,0.8823,1.1335,2
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,65907,2143,2121.6646,1.0101,0.9343,1.0689,0.8792,1.1374,2
I00699,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,50760,1715,1657.1053,1.0349,0.9258,1.0783,0.8775,1.1396,2
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,66613,2460,2094.8864,1.1743,0.9338,1.0694,0.8791,1.1375,1
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,58625,1642,1785.971,0.9194,0.9285,1.0753,0.8781,1.1389,2
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,73475,2577,2428.6094,1.0611,0.9385,1.0643,0.88,1.1364,2
I00699,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,51019,1565,1525.428,1.0259,0.9227,1.0817,0.8768,1.1405,2
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,76786,2209,2202.4873,1.003,0.9354,1.0676,0.8794,1.1371,2
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,132853,4184,4417.6793,0.9471,0.9542,1.0474,0.8825,1.1332,2
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,59226,2771,2589.191,1.0702,0.9404,1.0622,0.8803,1.1359,2
I00699,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,94604,3019,2925.1417,1.0321,0.9438,1.0585,0.8809,1.1352,2
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,68335,2385,2436.5485,0.9788,0.9386,1.0642,0.88,1.1363,2
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,74778,2242,2245.2226,0.9986,0.9361,1.0669,0.8796,1.1369,2
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,54102,2407,1980.559,1.2153,0.932,1.0714,0.8788,1.1379,1
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,76689,2256,2248.5956,1.0033,0.9361,1.0669,0.8796,1.1369,2
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,86276,2744,2902.0023,0.9456,0.9436,1.0587,0.8809,1.1352,2
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,51789,1655,1493.0841,1.1084,0.9219,1.0826,0.8767,1.1407,2
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,79132,2598,2291.601,1.1337,0.9367,1.0662,0.8797,1.1368,2
I00699,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,61766,2420,2227.6149,1.0864,0.9358,1.0672,0.8795,1.137,2
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,105380,2277,2995.6546,0.7601,0.9445,1.0578,0.881,1.135,3
I00699,RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,99595,3064,3328.8103,0.9204,0.9473,1.0547,0.8815,1.1344,2
I00699,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,74954,3088,2809.2874,1.0992,0.9427,1.0597,0.8807,1.1354,2
